iyear,specificity,vicinity,suicide,attacktype1,targtype1,targsubtype1,guncertain1,individual,nperps,nperpcap,claimed,weapsubtype1,weaptype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property
1995,1,0,0,2,15,,0,0,,,,2,5,1,,,1,,,1
1995,1,0,0,3,20,,1,0,,,,7,6,0,,,0,,,1
1995,1,0,0,3,20,,1,0,,,,7,6,0,,,0,,,1
1995,1,0,0,3,20,,1,0,,,,7,6,0,,,0,,,1
1995,1,0,0,3,20,,0,0,,,,16,6,0,,,10,,,1
1995,3,0,0,3,14,84,0,0,,,,16,6,0,,,14,,,1
1995,1,0,0,3,19,99,0,0,,,,16,6,0,,,1,,,1
1995,5,0,0,6,14,67,0,0,,,,,13,0,,,0,,,0
1995,5,0,0,6,14,67,0,0,,,,,13,0,,,0,,,0
1995,1,0,0,1,2,14,0,0,,,,16,6,16,,,30,,,0
1995,1,0,0,3,4,34,0,0,,,,15,6,13,,,25,,,1
1995,1,0,0,3,10,53,0,0,1,,,9,6,1,,,2,,,1
1995,1,0,0,3,2,18,0,0,,,,16,6,0,,,0,,,1
1995,1,0,0,3,2,18,0,0,,,,16,6,0,,,0,,,1
1995,1,0,0,1,3,25,0,0,,,,5,5,1,,,0,,,0
1995,1,0,0,2,17,93,0,0,,,,5,5,1,,,1,,,1
1995,1,0,0,3,20,,0,0,,,,16,6,0,,,23,,,1
1995,1,0,0,3,20,,0,0,,,,16,6,0,,,23,,,1
1995,1,0,0,3,20,,0,0,,,,16,6,0,,,1,,,1
1995,1,0,0,3,19,100,0,0,,,,7,6,0,,,8,,,1
1995,1,0,0,2,19,100,0,0,,,,,8,0,,,0,,,1
1995,1,0,0,7,15,86,1,0,,,,5,5,0,,,0,,,1
1995,1,0,0,1,14,77,0,0,,,,,13,1,,,0,,,0
1995,2,0,0,4,19,99,0,0,30,,,2,5,0,,,0,,,0
1995,1,0,0,3,3,23,0,0,,,,8,6,5,,,5,,,1
1995,1,0,0,3,19,99,0,0,,,,16,6,4,,,15,,,1
1995,1,0,0,3,17,93,0,0,,,,11,6,0,,,0,,,1
1995,1,1,0,3,4,29,0,0,,,,12,6,3,,,3,,,1
1995,1,0,0,1,2,18,0,0,,,,5,5,1,,,0,,,0
1995,1,0,0,1,6,43,0,0,,,,2,5,1,,,1,,,0
1995,1,0,0,6,2,15,0,0,,,,5,5,0,,,0,,,0
1995,4,0,0,2,19,99,0,0,,,,2,5,8,,,0,,,1
1995,1,0,0,3,1,2,0,0,,,,16,6,0,,,23,,,1
1995,1,0,0,3,1,8,0,0,,,,16,6,2,,,0,,,1
1995,3,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1995,4,0,0,9,3,25,0,0,,,,,13,5,,5,16,,,1
1995,5,0,0,1,3,25,0,0,,,,12,6,0,,,11,,,0
1995,1,0,0,1,2,15,0,0,7,,,5,5,2,,0,2,,0,0
1995,4,0,0,9,3,25,0,0,,,,,13,9,,,6,,,1
1995,1,0,0,3,14,74,0,0,,,,16,6,0,,,22,,,1
1995,1,0,0,6,10,53,0,0,,,,5,5,0,,,1,,,0
1996,1,0,0,3,14,68,0,0,,,,15,6,13,,,38,,,1
1996,1,1,0,2,14,69,0,0,20,,,5,5,15,,,0,,,0
1996,1,1,0,2,3,22,0,0,,,,,8,7,,,0,,,1
1996,2,0,0,2,3,23,0,0,24,,,5,5,7,,,11,,,1
1996,1,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1996,1,0,0,3,2,15,0,0,,,,16,6,0,,,1,,,1
1996,1,0,0,3,2,15,0,0,,,,11,6,0,,,0,,,1
1996,1,1,0,3,4,29,0,0,,,,16,6,2,,,3,,,1
1996,1,0,0,3,2,18,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,9,1,4,0,0,50,,,,13,0,,,0,,,1
